hastalik,ilac,doz,kullanim
Grip,Parol,500mg,Günde 3 kez yemeklerden sonra
Baş Ağrısı,Aspirin,100mg,Günde 2 kez yemeklerden sonra
Öksürük,Benical,5ml,Günde 3 kez yemeklerden sonra
Alerji,Claritin,10mg,Günde 1 kez sabah
Mide Ağrısı,Omeprazol,20mg,Günde 1 kez sabah aç karnına
Sinüzit,Augmentin,1000mg,Günde 2 kez yemeklerden sonra
Eklem Ağrısı,Voltaren,75mg,Günde 1 kez yemeklerden sonra
Uykusuzluk,Stilnox,10mg,Yatmadan 30 dakika önce 1 tablet
Anksiyete,Xanax,0.5mg,Günde 2 kez yemeklerden sonra
Yüksek Tansiyon,Coraspin,100mg,Günde 1 kez sabah 